artist,song
Nickelback,How You Remind Me
"Usher, Lil' Jon & Ludacris",Yeah!
"P Diddy, Usher & Loon",I Need A Girl
Mary J Blige,Family Affair
Lifehouse,Hanging By A Moment
Timbaland & OneRepublic,Apologize
Mariah Carey,We Belong Together
Three Doors Down,Kryptonite
Alicia Keys,Fallin'
Faith Hill,Breathe
The Pussycat Dolls,Don't Cha
Nelly & Kelly Rowland,Dilemma
OutKast,Hey Ya!
Train,Drops Of Jupiter (Tell Me)
Santana & The Product G,Maria Maria
Snow Patrol,Chasing Cars
50 Cent,In Da Club
Eminem,Lose Yourself
Mario,Let Me Love You
Faith Hill,The Way You Love Me
Rihanna & Jay-Z,Umbrella
Kelly Clarkson,Since U Been Gone
Creed,With Arms Wide Open
Jennifer Lopez & Ja Rule,I'm Real
Maroon 5,This Love
Kanye West & Jamie Foxx,Gold Digger
Destiny's Child,Independent Woman
The Calling,Wherever You Will Go
Shaggy & Ricardo 'RikRok' Ducent,It Wasn't Me
James Blunt,You're Beautiful
Enrique Iglesias,Hero
Joe Thomas,I Wanna Know
Vanessa Carlton,A Thousand Miles
Fergie,Big Girls Don't Cry (Personal)
R Kelly,Ignition
Aaliyah,Try Again
Timbaland & Keri Hilson,The Way I Are
Leona Lewis,Bleeding Love
Ciara & Petey Pablo,Goodies
Toni Braxton,He Wasn't Man Enough
Three Doors Down,Here Without You
Usher,U Got It Bad
Sean Paul,Get Busy
Rob Thomas & Santana,Smooth
Alicia Keys,No One
Shakira & Wyclef Jean,Hips Don't Lie
Madonna,Music
OutKast,The Way You Move
Evanescence & Paul McCoy,Bring Me To Life
Avril Lavigne,Complicated
Matchbox Twenty,Unwell
Vertical Horizon,Everything You Want
Ciara & Missy 'Misdemeanor' Elliot,1-2 Step
Eve & Gwen Stefani,Let Me Blow Ya Mind
Daniel Powter,Bad Day
Linkin Park,In The End
"Mario Winans, Enya & P Diddy",I Don't Wanna Know
The Fray,How To Save A Life
Matchbox Twenty,Bent
Lady GaGa,Poker Face
Beyonce & Jay-Z,Crazy In Love
Gorillaz,Feel Good Inc
Lil' Jon & The East Side Boyz,Get Low
Staind,It's Been Awhile
Ashanti,Foolish
Coldplay,Viva la vida
Beyonce,Baby Boy
Usher,Burn
Nelly,Hot In Herre
Green Day,Boulevard Of Broken Dreams
Destiny's Child,Say My Name
Alicia Keys,If I Ain't Got You
Justin Timberlake,SexyBack
Shaggy,Angel
Shakira,"Whenever, Wherever"
Lonestar,Amazed
Maroon 5,She Will Be Loved
Chris Brown & Juelz Santana,Run It
Snoop Dogg & Pharrell Williams,Drop It Like It's Hot
Nickelback,Someday
Gnarls Barkley,Crazy
Dido,White Flag
Jennifer Lopez & Ja Rule,Ain't It Funny
The Black Eyed Peas,My Humps
Gwen Stefani,Hollaback Girl
Kelly Clarkson,Breakaway
Hoobastank,The Reason
Nelly Furtado,Say It Right
Lifehouse,You & Me
Dido,Thank You
Sisqo,Thong Song
Jason Mraz,I am yours
Plain White T's,Hey There Delilah
Matchbox Twenty,If You're Gone
Flo-Rida & T-Pain,Low
LeAnn Rimes,Can't Fight The Moonlight
Kelly Clarkson,Because Of You
Destiny's Child,Jumpin' Jumpin'
Gwen Stefani & Akon,The Sweet Escape
Eminem,Without Me
Rihanna,Don't Stop The Music
50 Cent & Olivia,Candy Shop
"Christina Aguilera, Lil' Kim, Mya & Pink",Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?)
Pink,Get The Party Started
Uncle Kracker,Follow Me
The Black Eyed Peas,Where Is The Love?
Lenny Kravitz,Again
Blu Cantrell,Hit 'em Up Style (Oops!)
Fat Joe & Ashanti,What's Luv?
Creed,Higher
Katy Perry,Hot 'n' cold
Mya,Case Of The Ex (Whatcha Gonna Do)
Janet Jackson,All For You
Usher,U Remind Me
Ja Rule & Ashanti,Always On Time
Lee Ann Womack,I Hope You Dance
Lady GaGa & Colby O'Donis,Just Dance
Puddle of Mudd,Blurry
Terror Squad,Lean Back
Katy Perry,I Kissed A Girl
Chingy,Right Thurr
Akon,Smack That
J-Kwon,Tipsy
Sonique,It Feels So Good
Pink,There You Go
OutKast,Ms Jackson
Beyonce,Irreplaceable
Three Doors Down,When I'm Gone
Kylie Minogue,Can't Get You Out Of My Head
Evanescence,My Immortal
Usher & Alicia Keys,My Boo
The Killers,Mr Brightside
Destiny's Child,Lose My Breath
Marc Anthony,You Sang To Me
Nelly & City Spud,Ride Wit Me
Santana & Michelle Branch,The Game Of Love
Kevin Lyttle,Turn Me On
Nelly Furtado & Timbaland,Promiscuous
Nelly,(Hot S**t) Country Grammar
Sean Paul,Temperature
The Black Eyed Peas,Don't Phunk With My Heart
Missy 'Misdemeanor' Elliott,Work It
Rihanna,Pon de replay
Macy Gray,I Try
Madonna,Hung Up
"Nelly, P Diddy & Murphy Lee",Shake Ya Tailfeather
Crazy Town,Butterfly
Kelly Clarkson,Behind These Hazel Eyes
Carrie Underwood,Before He Cheats
Pink,So What
Jagged Edge & Nelly,Where The Party At
Soulja Boy,Crank That (Soulja Boy)
N Sync,"Bye, Bye, Bye"
Rihanna,Disturbia
Nickelback,Rockstar
Cascada,Everytime We Touch
Janet Jackson,Doesn't Really Matter
Natasha Bedingfield,Unwritten
Nickelback,Photograph
Avril Lavigne,Girlfriend
Christina Aguilera & Beverly McClellan,Beautiful
Weezer,Beverly Hills
Justin Timberlake & T.I.,My Love
Fall Out Boy,Sugar We're Goin Down
The Pussycat Dolls & Snoop Dogg,Buttons
The Black Eyed Peas,I Gotta Feeling
DJ Sammy & Yanou,Heaven
Joe Thomas & Mystikal,Stutter
Ludacris & Shaunna,Stand Up
Usher,Confessions Part II
City High,What Would You Do?
Jennifer Lopez,Love Don't Cost A Thing
Will Smith,Switch
Savage Garden,I Knew I Loved You
Busta Rhymes & Mariah Carey,I Know What You Want
Eamon,F**k it (I Don't Want You Back)
Chamillionaire & Krayzie Bone,Ridin'
Sisqo,Incomplete
Incubus,Drive
Duffy,Mercy
Kanye West,Stronger
Destiny's Child,Survivor
N Sync,It's Gonna Be Me
Timbaland & Nelly Furtado & Justin Timberlake,Give It To Me
Jennifer Lopez & LL Cool J,All I Have
Christina Aguilera,What A Girl Wants
50 Cent,PIMP
Enya,Only Time
Mary J Blige,Be Without You
The Game & 50 Cent,How We Do
